name,year_founded,industry,locality,country,current_employee_estimate
dfas,1991,accounting,"indianapolis, indiana, united states",united states,3421
consellería de educación,,primary/secondary education,,,3420
a2'dev,,computer software,,,3419
marine nationale,,military,,,3419
reliance retail,1995,retail,"bombay, maharashtra, india",india,3415
bell media,,entertainment,"toronto, ontario, canada",canada,3415
fairmont hotels & resorts,,hospitality,,,3414
ocp sa,1920,mining & metals,"casablanca, casablanca-settat, morocco",morocco,3414
collabera,1991,information technology and services,"morristown, new jersey, united states",united states,3413
university of adelaide,1847,higher education,"adelaide, south australia, australia",australia,3411
state of louisiana,,government administration,,,3409
cern,1954,research,"genève, geneva, switzerland",switzerland,3408
jet tex lanka pvt ltd,,textiles,,,3408
hogeschool van amsterdam,1993,higher education,"noord, noord-brabant, netherlands",netherlands,3407
li & fung limited,1906,consumer goods,"lai chi kok, sham shui po, hong kong",hong kong,3405
ems,1964,pharmaceuticals,"hortolandia, sao paulo, brazil",brazil,3401
fnac,1954,retail,"paris, île-de-france, france",france,3400
"california state university, fullerton",1957,higher education,"fullerton, california, united states",united states,3399
loyola university chicago,1870,higher education,"chicago, illinois, united states",united states,3397
samsung mobile,1969,telecommunications,,,3397
hanesbrands inc.,2006,consumer goods,"winston salem, north carolina, united states",united states,3397
forsvaret,,military,"a, syddanmark, denmark",denmark,3397
uc san diego health,1966,hospital & health care,"san diego, california, united states",united states,3396
ge transportation,1892,transportation/trucking/railroad,"chicago, illinois, united states",united states,3396
itt,1920,industrial automation,"white plains, new york, united states",united states,3395
fred meyer,,retail,,,3395
teb,1927,banking,"umraniye, istanbul, turkey",turkey,3392
mercedes-benz usa,,automotive,"north atlanta, georgia, united states",united states,3391
anixter,1957,wholesale,"glenview, illinois, united states",united states,3389
zalando se,2008,internet,"berlin, berlin, germany",germany,3389
winn-dixie,,supermarkets,"jacksonville, florida, united states",united states,3389
u.s. cellular,1983,wireless,"chicago, illinois, united states",united states,3388
williams,1908,oil & energy,"tulsa, oklahoma, united states",united states,3388
sinopec,,oil & energy,,,3387
intermarché,1974,supermarkets,"bondoufle, île-de-france, france",france,3387
harris teeter,1936,supermarkets,"matthews, north carolina, united states",united states,3384
jimmy john's,1983,restaurants,"champaign, illinois, united states",united states,3383
rti international,1958,research,"san francisco, california, united states",united states,3383
mylan laboratories limited,,pharmaceuticals,,,3382
wrigley,1891,consumer goods,"chicago, illinois, united states",united states,3375
comau,1973,industrial automation,"torino, piedmont, italy",italy,3373
national trust,,non-profit organization management,"providence, rhode island, united states",united kingdom,3373
university of maryland medical center,,hospital & health care,"baltimore, maryland, united states",united states,3371
mandarin oriental hotel group,,hospitality,"hong kong, central and western district, hong kong",hong kong,3370
icahn school of medicine at mount sinai,1963,hospital & health care,"new york, new york, united states",united states,3370
wework,2010,internet,"new york, new york, united states",united states,3369
dexyp,2017,marketing and advertising,"dallas, texas, united states",united states,3369
officemax,1986,retail,"boca raton, florida, united states",united states,3367
three.,2003,telecommunications,"berks, west berkshire, united kingdom",united kingdom,3366
sabmiller,1895,food & beverages,"london, london, united kingdom",united kingdom,3366
oliver wyman,1972,management consulting,"new york, new york, united states",united states,3366
the university of toledo,1872,higher education,"toledo, ohio, united states",united states,3364
uc santa cruz,,higher education,,,3362
carillion,1999,facilities services,"wolverhampton, wolverhampton, united kingdom",united kingdom,3360
cimb niaga,1955,banking,"jakarta, jakarta raya, indonesia",indonesia,3360
avianca,1919,airlines/aviation,"bogota, distrito especial, colombia",colombia,3360
medical college of wisconsin,1893,higher education,"milwaukee, wisconsin, united states",united states,3359
the clorox company,1913,consumer goods,"oakland, california, united states",united states,3359
kla-tencor,1976,semiconductors,"milpitas, california, united states",united states,3358
herbert smith freehills,2012,law practice,,,3356
falabella,1989,retail,"santiago, santiago metropolitan, chile",chile,3352
duval county public schools,1864,education management,"jacksonville, florida, united states",united states,3352
pandora a/s,1982,luxury goods & jewelry,"glostrup, capital region, denmark",denmark,3350
ing belgium,,financial services,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,3349
eclerx,2000,outsourcing/offshoring,"bombay, maharashtra, india",india,3347
radboud university,1923,research,"nijmegen, gelderland, netherlands",netherlands,3344
detroit medical center,,hospital & health care,"detroit, michigan, united states",united states,3343
international flavors & fragrances,1833,chemicals,"new york, new york, united states",united states,3343
stanford university school of medicine,,higher education,"palo alto, california, united states",united states,3343
embry-riddle aeronautical university,,higher education,"daytona beach, florida, united states",united states,3339
dartmouth-hitchcock,1893,hospital & health care,"lebanon, new hampshire, united states",united states,3339
rexel,1967,wholesale,"paris, île-de-france, france",france,3339
fm global,,insurance,"johnston, rhode island, united states",united states,3339
sensata technologies,2006,electrical/electronic manufacturing,"attleboro, massachusetts, united states",united states,3337
sabc,1999,broadcast media,"johannesburg, gauteng, south africa",south africa,3337
schindler group,1874,mechanical or industrial engineering,"ebikon, lucerne, switzerland",switzerland,3333
stream global services,1993,outsourcing/offshoring,"eagan, minnesota, united states",united states,3333
bcr,1990,banking,"bucharest, bucuresti, romania",romania,3332
le-vel.com,2012,"health, wellness and fitness","frisco, texas, united states",united states,3330
denny's,1953,restaurants,"spartanburg, south carolina, united states",united states,3330
istanbul university,,higher education,"i̇stanbul, istanbul, turkey",turkey,3330
sheffield hallam university,1843,higher education,"sheffield, sheffield, united kingdom",united kingdom,3328
godaddy,1997,internet,"scottsdale, arizona, united states",united states,3328
grameenphone ltd,1997,telecommunications,"dhaka, dhaka, bangladesh",bangladesh,3327
diamond bank plc,1990,financial services,"lagos, lagos, nigeria",nigeria,3326
cbs corporation,1925,entertainment,"new york, new york, united states",united states,3326
doterra international llc,2008,"health, wellness and fitness","pleasant grove, utah, united states",united states,3325
